＊名前は全角7.5文字までに納めること

0,猫又 こま
1,みけ猫 おたふく
2,でふ猫 十文字
3,仔猫 みぃ
4,くろ猫 まろ
5,虎猫 とらえもん
6,しろ猫 玉三郎
7,野良猫 三味線
8,白黒猫 囲碁丸
9,はは猫 さんご
10,さば猫 ひめ
11,飼い猫 てまり
12,ぶち猫 野菊
13,我輩猫 まだない
14,雌猫 ひややっ子
15,おす猫 おにぎり
16,しのび猫 しじま
17,さび猫 なまくら
18,異国猫 るーしゃ
19,灰猫 まんじゅ
20,金目銀目 たから
21,片目 マサムネ
22,茶猫 よね
23,老猫 仙
24,泥棒猫 キバ丸
25,若猫 はづき
26,迷い猫　きぬいと
27,芸猫 風鈴
28,武芸猫 小鉄
29,ぎょろ目 雷太
30,けが猫 うねね
31,アーベル
32,エーリッヒ
33,マテウス
34,オトフリート
35,カルル
36,ティル
37,ザムエル
38,ハンス
39,ベアトリーチェ
40,アマンダ
41,イレーネ
42,エルザ
43,ノーラ
44,ヨハナ
45,ミリィ
46,ユーディット
47,ミハエル
48,ギュンター
49,ダーヴィッド
50,ユリアン
51,クレメンス
52,ハイリンヒ
53,リディ
54,ブリジット
55,ヘルガ
56,ナターリエ
57,フォルカー
58,エーファ
59,ヴィリー
60,ライヒアルト
61,フーゴー
62,ローザ
63,ウェンデル
64,ゼルギウス
65,カヤ
66,ベッティ
67,クロエ
68,カルメン
69,レナーテ
70,ロミ
71,ゲルダ
72,イヴァン
73,オクタヴィア
74,ヘルムート
75,バルトン
76,バートン
77,メノミリア
78,フェイト
79,シャスカ
80,ゲイル
81,ユーラス
82,スヴェン
83,ミルーハ
84,イングス
85,ヒルトン
86,サイフェス
87,ゼオルグ
88,アリナ
89,エレア
90,ラフィーネ
91,トア
92,コルド
93,ガイアン
94,デパス
95,リュミエール
96,テオ
97,メイアル
98,クラム
99,カルメ
100,フラット
101,レアンダ
102,オノン
103,ペギータ
104,ポルッカ
105,ジーノ
106,ラキア
107,ミリ
108,リーン
109,メリンダ
110,ヴェイド
111,クノーメ
112,ゼノン
113,カッツェ
114,シーザ
115,マリアンヌ
116,シロガネ
117,ルッカ
118,ルーニー
119,ダンテ
120,ニコラス
121,クロガネ
122,ヴァレリア
123,サムス
124,キリト
125,ハティ
126,スコル
127,ケイト
128,アリシア
129,ライナー
130,シルヴィア
131,カトレア
132,クレール
133,ジェルトルーデ
134,テトラ
135,ジュディ
136,ラヴィニア
137,ヒナタ
138,テレサ
139,ミユキ
140,モイラ
141,アイリス
142,ハルカナ
143,ベレニーチェ
144,フィズ
145,シェリル
146,シェリー
147,フェリス
148,アルル
149,ミサナ
150,フローレンス
151,スーキー
152,クローディア
153,シロテルア
154,レナ
155,エレン
156,ユウギリ
157,リンゴ
158,アンズ
159,カスミ
160,セリーヌ
161,ロゼット
162,アラン
163,イヴ
164,ナルミ
165,アナスタシア
166,キーラ
167,モモ
168,ザクシャーラ
169,ウェディ
170,プラスコーヴィヤ
171,スラスコ
172,大家 伊織
173,仕立屋 おぬい
174,染料屋 得兵衛
175,髪結 お瀧
176,魚屋 浜吉
177,洗濯女 お清
178,大家の孫 お千花
179,茶飯屋 留蔵
180,薬師 真澄
181,年子 お布由
182,年子 お奈津
183,浪人 景近
184,絵師 雪簾
185,大工 源次
186,少年 捨八
187,妾腹 彦十郎
188,与力の弟 市之丞
189,旗本三男 鈴之進
190,十手持ち 秀平
191,同心 忠明
192,丁稚　久松
193,貸本屋 庄之助
194,猿回し 久米五郎
195,作家 柘榴
196,武術小町 桜
197,八百屋 お亀
198,金貸し ますゑ
199,巫女 貴子
200,町娘 お佳代
201,風来坊 卍
202,火消し 辰馬
203,住職 浄尊
204,寺男 与作
205,女房 杉江
206,曲芸師 蝶々
207,夜鷹 みさを
208,武者修行 鉄心
209,怪我人 あづさ
210,後家 藤世
case 211: return”サガネ”;
case 212: return”アキヨシ”;
case 213: return”キリカ”;
case 214: return”ジロ”;
case 215: return”ミツル”;
case 216: return”イル”;
case 217: return”キング”;
case 218: return”ココ”;
case 219: return”トト”;
case 220: return”チャコ”;
case 221: return”マキ”;
case 222: return”ムラタ”;
case 223: return”キヌ”;
case 224: return”サトリ”;
case 225: return”チハヤ”;
case 226: return”マオ”;
case 227: return”フクトミ”;
case 228: return”ユメコ”;
case 229: return”メイコ”;
case 230: return”カンザキ”;
case 231: return”フミノエ”;
case 232: return”モモ”;
case 233: return”ソウザブロウ“;
case 234: return”リョータ”;
case 235: return”ユキト”;
case 236: return”コトブキ”;
case 237: return”イヌカイ”;
case 238: return”クロエ”;
case 239: return”レント”;
case 240: return”ヒロミ”;
